applicationId	createdOn	lastUpdatedOn	carRego	carColor
1	9/12/18	9/15/2018	WAUAFAFL7DN358583	Greenlam
94	7/31/2019	2/19/2019	WBANF33507B197843	Lotstring
37	10/28/2018	10/25/2018	1GKS1HE0XDR799210	Quo Lux
53	2/4/19	10/10/18	1GYUCJEF0AR944898	Opela
64	1/26/2019	3/5/19	3N1CN7AP3DL618704	Viva
17	7/7/19	10/31/2018	YV1672MK0C2031426	Zamit
71	5/2/19	10/2/18	WBAPH7C50BE533993	Lotstring
35	3/15/2019	9/27/2018	WBAEV334X3P388998	Gembucket
70	10/10/18	2/2/19	WA1UFAFL5FA566837	Andalax
27	2/6/19	9/14/2018	3D73Y3CLXAG147474	Cardify
50	2/9/19	1/9/19	5TDDCRFH6FS570326	Y-Solowarm
65	8/17/2019	12/18/2018	JN1CV6EK9AM351031	Quo Lux
5	2/2/19	9/21/2018	1FTFW1E82AK900382	Stronghold
54	12/12/18	3/6/19	5YMGY0C59DL002338	Ventosanzap
88	11/21/2018	6/1/19	JN1AZ4EHXEM970554	Holdlamis
71	10/3/18	6/17/2019	2LMDJ8JK6FB476824	Pannier
69	10/2/18	7/29/2019	3N1CN7AP1DL750943	Tres-Zap
65	7/18/2019	6/12/19	4T1BD1FK7EU946927	Flowdesk
21	1/18/2019	9/1/18	JN1AZ4EH9FM484237	Zamit
21	12/8/18	10/1/18	WAUDF98E26A909247	Fixflex
58	12/24/2018	2/20/2019	WAUCD64B04N388482	Bytecard
19	9/3/18	8/27/2018	1GD322CGXEF564203	Hatity
69	12/24/2018	7/19/2019	1G6AF5S37E0439150	Tampflex
84	5/25/2019	10/20/2018	1D7RB1CTXBS946231	Voyatouch
98	1/15/2019	5/5/19	WAUDF78E38A840480	Bamity
28	12/30/2018	4/13/2019	2T2BK1BA8FC602928	Hatity
10	6/28/2019	2/10/19	WBANB53557C949361	Hatity
43	9/22/2018	12/5/18	KNAGM4A7XB5491623	Pannier
66	1/12/19	12/8/18	TRUSC28NX11120630	Vagram
30	4/9/19	10/27/2018	WAURD68D11A729137	Zoolab
95	10/8/18	4/3/19	5FPYK1F67EB825340	Bitwolf
27	3/9/19	8/20/2018	JM3TB2CA4D0347688	Redhold
37	5/16/2019	3/23/2019	1G6AB5R31E0875154	Fix San
16	7/2/19	9/28/2018	JM1NC2EF6A0610640	Aerified
53	7/21/2019	12/28/2018	1HGCR2E32FA087471	Stronghold
28	8/15/2019	9/2/18	5GAER23708J717361	Stronghold
76	8/30/2018	6/25/2019	WAUEG78E56A291346	Cookley
51	2/23/2019	5/16/2019	YV140MAB3F1079671	Hatity
89	3/4/19	10/9/18	1N6AD0CU4FN742384	Flexidy
34	3/9/19	1/4/19	SALFR2BG4EH600480	Biodex
8	11/13/2018	4/26/2019	5GADV23L75D941600	Namfix
52	10/5/18	2/12/19	2LMHJ5AR6AB170261	Andalax
34	7/13/2019	8/17/2019	1GD01ZEG7BF295407	Rank
92	11/13/2018	12/7/18	2HNYD2H44DH868234	Temp
49	7/23/2019	6/5/19	JTEBU5JR4A5016662	Stringtough
20	12/31/2018	4/11/19	4T3BA3BB4FU361130	Tres-Zap
20	6/13/2019	2/7/19	WBAYF4C52FD342483	Zamit
3	7/7/19	10/19/2018	WBAUP9C58CV930886	It
7	9/27/2018	8/11/19	WBABD33474P906170	Opela
24	9/3/18	8/12/19	WBAEU33485P360767	Gembucket
9	6/13/2019	10/20/2018	3C4PDCABXCT083089	Gembucket
33	5/6/19	2/21/2019	WAUWGAFC1DN703299	Transcof
68	1/28/2019	3/13/2019	KMHHT6KDXDU137079	Tin
51	9/2/18	2/22/2019	SCFFDABE8CG756721	Tampflex
30	6/15/2019	10/25/2018	JH4CW2H69DC623667	Zaam-Dox
28	2/15/2019	12/19/2018	1GD21ZCG0CZ762646	Bytecard
61	7/20/2019	1/12/19	WBAGL63413D802736	Y-find
20	4/19/2019	7/15/2019	WDDGF4HB7EG758450	Prodder
75	7/14/2019	3/24/2019	WDDEJ7HB6AA484372	Hatity
16	1/3/19	8/27/2018	5N1AR1NB9CC239636	Redhold
61	5/12/19	12/7/18	JTDZN3EU7EJ666862	Zamit
64	11/7/18	4/3/19	1N6AA0EJ8FN365232	Konklux
2	5/22/2019	3/30/2019	1G6DP5E36D0687944	Regrant
49	6/5/19	5/25/2019	5FNRL5H21DB056490	Matsoft
39	8/25/2018	10/11/18	WAULFAFH3BN895520	Cardify
42	1/14/2019	6/24/2019	YV126MFB2F2955347	Greenlam
79	11/17/2018	6/17/2019	5NPEB4AC8BH533042	Sonair
85	4/11/19	1/5/19	JN8AE2KP7B9548690	Transcof
91	2/17/2019	5/30/2019	3GYFK52269G192818	Tempsoft
39	11/29/2018	10/4/18	WP0CB2A89FK105009	Lotlux
16	12/8/18	1/18/2019	KNAFU6A27C5289836	Job
16	2/23/2019	4/10/19	WBAVB73597P346210	Zoolab
91	12/11/18	9/9/18	WAUKF98E98A589323	Voyatouch
63	11/21/2018	12/23/2018	2G4WD582971746037	Fixflex
50	12/3/18	7/23/2019	WAUEF98E18A850067	Cardguard
100	10/27/2018	3/29/2019	1FTEX1EW0AF448271	Bigtax
90	12/2/18	2/1/19	5N1BA0NE8FN229463	Greenlam
95	5/16/2019	2/1/19	3C6JD7BP8CG701808	Pannier
16	2/10/19	6/4/19	2C3CDZAG8FH152506	Sonair
80	7/31/2019	3/10/19	5FNYF3H23EB458147	Aerified
97	7/9/19	2/28/2019	WBABD33476J287558	Voltsillam
69	8/30/2018	11/21/2018	1G6KD54Y21U081428	Cookley
17	6/2/19	10/19/2018	WBAVB73527F496178	Ventosanzap
60	12/4/18	9/24/2018	WBAPL335X9A661943	Tres-Zap
59	8/26/2018	4/13/2019	WBA6B4C52FD427424	Home Ing
72	5/1/19	11/5/18	SALAG2V66FA953364	Duobam
21	6/10/19	5/4/19	1GYS3JEF9BR291156	Andalax
73	11/15/2018	7/27/2019	3C3CFFER7FT270736	Zamit
100	5/10/19	9/23/2018	SCFAD02A55G675891	Lotlux
80	12/28/2018	11/19/2018	1N6AD0CU4EN707276	Tres-Zap
81	5/22/2019	3/11/19	WAUEF78E36A351675	Stronghold
93	11/21/2018	3/19/2019	JTDBT4K32A1333391	Bitwolf
50	4/13/2019	9/16/2018	1FTMF1CW3AK353776	Sonair
2	4/12/19	10/20/2018	2C3CDZBT1FH333801	Prodder
71	1/12/19	5/2/19	WDDUG7JB0FA468616	Rank
68	2/5/19	2/17/2019	WBAYA6C58ED444931	Opela
4	10/4/18	6/30/2019	WBAEH73415C313695	Latlux
32	2/21/2019	3/15/2019	WBAYM9C55DD744899	Flexidy
36	6/17/2019	7/4/19	1G6AG5RX8F0920001	Quo Lux
51	5/2/19	6/25/2019	1FTEW1CM9CF662067	Subin
54	8/23/2018	6/8/19	SCFBB04B67G882695	Greenlam
66	4/5/19	11/2/18	1GYFK16299R566342	Toughjoyfax
81	5/6/19	3/15/2019	19UUA9F72CA951016	Namfix
40	12/14/2018	12/21/2018	1G6DJ5E34C0611820	Span
54	4/3/19	5/6/19	WVWAA7AHXAV883690	Tampflex
5	11/29/2018	12/1/18	1G4GC5GC7BF533638	Solarbreeze
97	1/1/19	12/8/18	WDDEJ7EB7EA977455	Solarbreeze
3	4/8/19	2/19/2019	5UXXW5C54F0866213	It
43	3/23/2019	6/11/19	19XFA1E81AE941851	Pannier
26	3/11/19	12/26/2018	1D7RE3GK0BS953080	Vagram
19	12/4/18	9/30/2018	1GYFC33259R755972	Zoolab
74	5/2/19	3/21/2019	WAUKH98E38A124109	Regrant
8	2/10/19	7/12/19	KNADH5A30A6248065	Home Ing
45	8/24/2018	4/23/2019	3N1AB7AP1FY437865	Konklab
69	5/12/19	4/12/19	WBA3B3C51DJ507809	Gembucket
56	7/27/2019	11/13/2018	JM3KE2BE9F0052791	Kanlam
74	6/1/19	12/27/2018	WBAVD53538A097051	Overhold
26	6/17/2019	9/20/2018	WAUKFBFL1EN244235	Asoka
40	2/6/19	3/2/19	TRUTC28N051048248	Zaam-Dox
54	6/5/19	10/13/2018	WVGAV3AX1DW505630	Zoolab
99	9/30/2018	7/6/19	JM1NC2EF2A0358398	Opela
55	4/25/2019	1/23/2019	JH4DB75601S809536	Wrapsafe
87	11/8/18	10/3/18	JTDKDTB31E1426318	Wrapsafe
92	8/5/19	12/26/2018	WAULC58E95A654897	Alpha
97	1/5/19	7/9/19	5N1BA0ND2FN248310	Namfix
79	1/4/19	10/7/18	WBAFR7C54CC528530	Sonsing
24	8/8/19	6/8/19	2HNYD28477H788978	Matsoft
34	2/10/19	7/26/2019	JH4DC53046S417652	Stronghold
11	10/12/18	6/11/19	1N6AD0CU3FN968271	Asoka
74	2/17/2019	6/25/2019	3VW467AT7DM722244	Aerified
95	10/15/2018	5/25/2019	JH4KA96562C668589	Tempsoft
86	5/10/19	12/5/18	SCFEBBBC0AG613149	Latlux
13	4/13/2019	8/25/2018	1FAHP2D85EG680413	Flexidy
10	8/3/19	9/13/2018	5FNYF3H30FB681837	Namfix
97	12/10/18	9/6/18	WA1CFBFPXCA352880	Overhold
2	1/28/2019	3/13/2019	JN1CV6EK3EM533748	Bigtax
71	4/28/2019	11/12/18	WVGAV7AX4BW772510	Flowdesk
77	3/29/2019	9/24/2018	19UUB3F54FA130366	Bigtax
92	5/23/2019	7/6/19	WA1MKAFP0AA667114	Solarbreeze
47	7/4/19	7/13/2019	1GTC5LF95C8715352	Zaam-Dox
92	10/9/18	9/11/18	2G4GN5EK3C9833501	Rank
71	10/6/18	1/5/19	2C3CCARG4EH869685	Fixflex
72	12/10/18	9/18/2018	1ZVBP8JZ6D5787154	Job
37	7/3/19	8/28/2018	WBAUN1C5XAV838635	Fintone
81	4/8/19	7/31/2019	KNDPB3A21D7704828	Tresom
47	5/23/2019	1/14/2019	3C3CFFFH7DT784704	Kanlam
71	8/29/2018	2/23/2019	3C63DPML7CG943685	Viva
58	11/28/2018	1/5/19	WA1DVAFE9AD650588	Trippledex
28	3/21/2019	12/22/2018	KMHHT6KDXBU138715	Cookley
75	9/8/18	9/15/2018	1FTEW1E86AK214597	Prodder
